Student_ID,Gender,Study_Hours,Attendance,Assignments_Score,Midterm_Score,Final_Score,Sleep_Hours,Internet_Hours
S001,Male,6.8,95.4,50.6,62.7,83.3,7.1,1.7
S002,Female,5.7,62.0,57.0,89.2,66.9,8.8,5.3
S003,Male,6.6,57.2,89.6,74.4,56.8,7.3,5.7
S004,Male,6.4,74.5,52.2,37.2,93.0,7.3,7.0
S005,Male,4.6,99.3,41.9,30.3,33.3,8.9,4.5
S006,Female,6.5,62.1,69.0,73.2,61.9,6.5,2.0
S007,Male,1.5,83.6,95.5,27.0,25.9,5.2,3.3
S008,Male,2.2,88.1,78.7,68.9,60.1,4.6,3.9
S009,Male,1.3,61.9,69.9,95.5,29.2,8.3,6.2
S010,Female,3.0,86.4,36.8,68.2,33.9,7.6,5.6
S011,Male,3.3,68.4,73.1,54.1,33.8,8.0,3.8
S012,Male,2.6,81.6,99.3,73.2,73.7,5.6,8.9
S013,Male,6.0,81.7,39.8,59.4,81.0,5.2,5.8
S014,Male,3.1,76.8,66.3,65.9,68.8,4.6,2.9
S015,Female,2.7,54.5,91.4,95.6,97.2,6.3,1.8
S016,Male,4.3,91.8,81.9,54.0,53.1,7.4,2.2
S017,Female,1.8,66.0,78.8,97.1,46.4,6.5,3.0
S018,Female,5.8,59.3,79.2,92.9,90.1,6.7,2.3
S019,Female,1.4,52.0,55.2,39.7,41.8,9.0,2.5
S020,Male,6.9,79.5,50.6,30.2,97.2,6.2,3.3
S021,Female,5.6,83.9,86.7,32.6,25.9,7.1,2.4
S022,Male,2.2,50.8,86.7,26.4,97.7,8.4,8.2
S023,Female,1.0,75.6,90.7,32.1,28.2,6.5,1.6
S024,Female,5.9,61.3,93.9,76.2,91.8,7.6,5.2
S025,Female,5.2,82.3,65.8,30.3,64.6,8.8,4.3
S026,Female,5.4,58.7,65.1,48.9,99.5,9.2,8.9
S027,Female,5.6,84.5,85.9,88.4,30.5,5.2,1.9
S028,Female,1.4,69.3,75.5,26.7,66.5,9.1,4.2
S029,Female,3.2,96.8,79.1,86.1,97.7,7.0,8.8
S030,Female,1.7,56.9,85.7,46.1,64.2,5.8,7.9
S031,Male,6.2,67.1,92.3,33.9,72.2,6.8,7.5
S032,Male,4.7,55.7,53.7,77.3,77.2,9.4,3.1
S033,Female,3.0,96.2,56.3,72.2,59.1,7.0,2.4
S034,Female,1.4,93.9,36.6,90.8,72.1,6.1,6.3
S035,Female,2.9,62.9,70.5,80.1,68.8,7.7,8.4
S036,Male,3.0,83.0,32.5,85.3,92.6,5.7,5.5
S037,Female,5.4,90.9,62.6,46.2,28.4,4.9,5.6
S038,Male,4.8,77.8,68.0,38.3,46.1,5.1,3.2
S039,Male,6.3,76.5,50.1,81.3,96.3,5.1,7.2
S040,Male,3.8,62.1,71.4,85.5,91.8,5.3,2.5
S041,Male,1.7,54.7,32.1,99.3,59.2,5.2,3.6
S042,Male,5.3,94.9,32.6,55.9,71.5,7.7,4.4
S043,Female,5.6,95.0,87.6,52.9,45.8,5.4,5.1
S044,Female,4.4,81.7,55.2,83.2,39.1,6.2,2.9
S045,Female,5.6,67.0,38.9,50.6,59.8,9.0,1.9
S046,Female,4.0,67.5,66.6,94.8,51.5,6.9,5.9
S047,Female,4.1,86.3,83.9,89.4,68.8,7.8,3.3
S048,Male,3.6,94.9,45.1,57.2,30.8,5.4,5.6
S049,Female,1.2,94.4,73.6,81.3,98.1,5.5,2.2
S050,Female,1.6,89.0,36.0,81.6,99.0,4.7,4.8
S051,Male,1.2,82.1,33.6,32.7,77.4,5.3,5.3
S052,Female,4.8,54.2,67.2,92.7,65.2,5.9,1.4
S053,Male,2.9,58.1,67.8,62.9,48.2,5.4,3.7
S054,Female,4.1,94.9,74.6,87.0,86.0,4.9,2.1
S055,Male,6.4,80.3,80.8,49.0,76.4,5.1,1.5
S056,Female,2.5,50.5,98.3,92.2,37.2,6.8,8.9
S057,Female,3.5,55.1,66.1,54.2,93.3,5.5,3.6
S058,Male,5.5,83.2,52.6,25.8,86.7,6.3,7.5
S059,Male,2.4,50.3,85.7,92.9,96.2,7.0,3.0
S060,Male,1.5,58.0,49.0,31.8,79.4,8.0,6.5
S061,Male,2.7,77.4,60.7,48.9,71.0,4.7,7.1
S062,Male,2.0,84.6,35.5,96.3,56.4,8.5,5.8
S063,Male,6.6,82.6,31.8,96.3,95.0,7.6,4.8
S064,Male,5.8,61.2,97.4,68.0,90.0,4.9,4.3
S065,Male,4.8,85.6,88.5,72.4,28.4,8.9,3.8
S066,Female,6.2,61.9,78.7,58.6,27.0,9.1,8.4
S067,Female,5.8,66.3,58.6,47.0,53.2,4.8,7.6
S068,Male,2.1,87.3,42.1,49.6,85.8,5.9,8.7
S069,Female,6.4,82.5,41.0,75.4,99.0,8.5,2.0
S070,Female,4.2,92.5,47.5,81.4,36.3,8.2,6.8
S071,Female,5.8,82.9,68.4,84.4,69.6,5.4,8.5
S072,Female,6.4,78.4,80.0,84.2,53.6,5.5,2.4
S073,Male,2.9,54.7,76.2,31.8,97.7,6.4,1.5
S074,Female,1.7,68.4,49.6,62.1,88.2,6.9,6.9
S075,Male,2.4,63.3,96.8,29.3,87.9,7.6,5.6
S076,Female,3.6,62.2,81.7,66.2,60.2,6.3,7.7
S077,Female,5.9,98.7,68.8,58.1,56.1,6.8,2.1
S078,Female,6.2,69.7,72.8,91.6,45.5,8.2,7.4
S079,Male,1.0,94.6,59.4,51.3,29.2,4.7,2.6
S080,Female,4.1,81.6,47.3,33.8,89.9,5.8,2.3
S081,Male,3.5,89.7,54.9,35.7,86.0,8.1,2.3
S082,Female,2.3,75.1,83.0,82.1,100.0,9.0,7.5
S083,Male,1.7,78.8,31.0,71.4,99.7,7.1,6.3
S084,Female,3.0,74.6,38.1,32.6,66.7,7.2,5.2
S085,Male,6.7,59.8,33.2,31.3,82.7,5.0,3.9
S086,Male,2.9,86.1,32.9,77.6,95.9,6.7,8.0
S087,Female,4.1,64.0,89.9,30.5,88.7,7.2,4.1
S088,Male,5.2,51.2,79.3,86.6,43.6,5.7,7.5
S089,Female,3.2,82.3,63.2,78.0,58.8,5.8,4.5
S090,Female,6.8,58.9,36.8,31.1,34.7,6.4,4.0
S091,Female,6.8,97.0,64.4,31.4,96.6,4.6,4.7
S092,Female,2.5,97.7,63.1,99.0,70.5,6.1,3.4
S093,Female,4.0,95.7,42.1,53.1,42.1,5.6,7.0
S094,Female,2.8,68.5,60.4,52.8,75.4,6.1,5.0
S095,Female,2.7,50.8,57.9,86.0,71.4,5.1,2.9
S096,Female,1.2,96.4,73.1,96.0,51.9,9.0,8.2
S097,Female,4.7,71.4,74.5,99.0,33.5,7.5,4.1
S098,Female,4.0,98.3,33.2,81.5,75.4,7.9,5.3
S099,Female,1.3,98.2,56.2,53.2,64.0,8.4,8.3
S100,Male,2.7,92.7,73.8,31.3,82.9,7.0,6.0
